NGC260	<b>NGC260</b>: GALXY (Scp) in Andromeda<br><b>R.A.:</b> 0 48.6<br><b>Dec.:</b> +27 41<br><b>Magnitude:</b> 13.5<br><b>Surface brightness:</b> 13.2<br><b>Size:</b>  0.8 m x  0.8 m<br><b>Dreyer code:</b> eF; pS; lE<br><b>Notes:</b> NGC 252 group
NGC262	<b>NGC262</b>: GALXY (Sa) in Andromeda<br><b>R.A.:</b> 0 48.8<br><b>Dec.:</b> +31 57<br><b>Magnitude:</b> 13.1<br><b>Surface brightness:</b> 13.1<br><b>Size:</b>  1.4 m x  1.4 m<br><b>Dreyer code:</b> eF; vS; R; v diffic
NGC272	<b>NGC272</b>: OPNCL (IV 1 p) in Andromeda<br><b>R.A.:</b> 0 51.4<br><b>Dec.:</b> +35 49<br><b>Magnitude:</b>  8.5<br><b>Number of stars:</b> 8<br><b>Star magnitude:</b>  9<br><b>Dreyer code:</b> Cl; L; lC
NGC280	<b>NGC280</b>: GALXY (SB Ring) in Andromeda<br><b>R.A.:</b> 0 52.5<br><b>Dec.:</b> +24 21<br><b>Magnitude:</b> 13.2<br><b>Surface brightness:</b> 13.8<br><b>Size:</b>  1.7 m x  1.1 m<br><b>Dreyer code:</b> eF; S; R; *15 f 30''<br><b>Notes:</b> H III 477; distorted; asym ecc nucl region; UGC 534
NGC304	<b>NGC304</b>: GALXY (S pec) in Andromeda<br><b>R.A.:</b> 0 56.1<br><b>Dec.:</b> +24 8<br><b>Magnitude:</b> 13.0<br><b>Surface brightness:</b> 12.6<br><b>Size:</b>  1.1 m x  0.7 m<br><b>Dreyer code:</b> pF; S; R; svlbM<br><b>Notes:</b> eruptive ?; sff of 2
NGC317A	<b>NGC317A</b>: GALXY (SO) in Andromeda<br><b>R.A.:</b> 0 57.7<br><b>Dec.:</b> +43 48<br><b>Magnitude:</b> 14.5<br><b>Size:</b>  1.4 m x  1.3 m<br><b>Dreyer code:</b> eeF; pS; lE; D * close f
NGC317B	<b>NGC317B</b>: GALXY (SBbc) in Andromeda<br><b>R.A.:</b> 0 57.7<br><b>Dec.:</b> +43 47<br><b>Magnitude:</b> 13.9<br><b>Size:</b>  1.1 m x  0.5 m
IC65	<b>IC65</b>: GALXY (SBbc) in Andromeda<br><b>R.A.:</b> 1 0.9<br><b>Dec.:</b> +47 41<br><b>Magnitude:</b> 12.8<br><b>Surface brightness:</b> 14.3<br><b>Size:</b>  3.9 m x  1.1 m<br><b>Dreyer code:</b> eF; pL; mE; B star sf
NGC389	<b>NGC389</b>: GALXY (Sa) in Andromeda<br><b>R.A.:</b> 1 8.5<br><b>Dec.:</b> +39 42<br><b>Magnitude:</b> 13.8<br><b>Surface brightness:</b> 13<br><b>Size:</b>  1.3 m x  0.4 m<br><b>Dreyer code:</b> eF; eS; R; * nr
NGC393	<b>NGC393</b>: GALXY (E-SO) in Andromeda<br><b>R.A.:</b> 1 8.6<br><b>Dec.:</b> +39 39<br><b>Magnitude:</b> 12.5<br><b>Surface brightness:</b> 13.4<br><b>Size:</b>  1.7 m x  1.4 m<br><b>Dreyer code:</b> F; vS; vlE; gbM; 4 S st nr<br><b>Notes:</b> H I 54
